# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance65
# Segment type: raw_format_only | source time 5185.793 to 7030.293 s
# Source files: Endurance 6-5.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: none | startup-cleaning: no stable start (skipped_raw_format_only)
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	1369	514	2149.96	514	0	-3	365	0	0	0	410	0	-0	0	0	0	-0	0	-0	-0.005	0.033
0.1	1360	520	2155.99	514	0	-1	358	0	0	0	409	0	-0	0	0	0	-0	0	-0	-0.005	-0.021
0.2	1355	520	2150.06	513	0	-2	363	0	0	0	409	0	-0	0	0	0	-0	0	-0	-0.004	0.013
0.3	1369	516	2147.099	512	0	-1	363	0	0	0	408	0	-0	0	0	0	-0	0	-0	-0.004	0.021
0.4	1378	514	2151.04	516	0	-3	364	0	0	0	409	0	-0	0	0	0	-0	0	-0	0.001	0.019
0.5	1371	515	2152.059	514	0	-3	361	0	0	0	410	0	-0	0	0	0	-0	0	-0	0.001	0.006
0.6	1364	517	2153.02	512	0	-1	365	0	0	0	410	0	-0	0	0	0	-0	0	-0	0.001	-0.017
0.7	1353	522	2151	514	0	-2	361	0	0	0	410	0	-0	0	0	0	-0	0	-0	0	0.039
0.8	1360	518	2147.059	514	0	-3	360	0	0	0	409	0	-0	0	0	0	-0	0	-0	-0.003	0.01
0.9	1378	515	2148.061	514	0	-3	360	0	0	0	410	0	-0	0	0	0	-0	0	-0	-0.003	0.005
1	1366	516	2155	512	0	-2	363	0	0	0	409	0	-0	0	0	0	-0	0	-0	-0.004	0.001
1.1	1352	518	2151.081	515	0	-2	359	0	0	0	410	0	0	0	-0	-0	0	0	-0	-0.005	-0.004
1.2	1353	521	2152.96	513	0	-3	360	0	0	0	409	-0	-0	-0	0	-0	0	0	-0	-0.002	-0.008
1.3	1365	519	2146.139	514	0	-3	361	0	0	0	409	-0	0	0	0	-0	0	0	-0	-0.003	0.014
1.4	1373	514	2150.051	512	0	-1	362	0	0	0	410	-0	-0	0	0	-0	0	0	-0	-0	-0.029
1.5	1353	521	2148.96	513	0	-1	366	0	0	0	409	-0	-0	0	0	-0	-0	0	-0	-0.001	-0.002
1.6	1358	523	2152.99	513	0	-1	363	0	0	0	409	0	0	-0	-0	-0	0	0	-0	-0	0.012
1.7	1378	514	2149.97	512	0	-1	367	0	0	0	409	0	-0	-0	-0	-0	-0	0	-0	-0.001	-0.017
1.8	1369	516	2154.941	513	0	-1	360	0	0	0	408	0	-0	0	0	0	0	0	-0	-0.002	0.017
1.9	1363	520	2157.949	514	0	-3	362	0	0	0	409	0	-0	0	0	-0	-0	0	-0	-0.002	-0.002
2	1371	517	2152	513	0	-4	365	0	0	0	409	-0	0	-0	0	-0	0	0	-0	-0.001	-0.015
2.1	1367	516	2148.051	512	0	-1	365	0	0	0	411	0	-0	-0	0	0	0	0	-0	-0.001	-0.008
2.2	1356	522	2153.99	514	0	-4	361	0	0	0	410	-0	0	0	0	-0	-0	0	0	-0.002	0.007
2.3	1353	519	2149.099	514	0	-0	365	0	0	0	410	0	-0	0	0	-0	-0	-0	0	-0.002	-0.002
2.4	1369	515	2156.96	514	0	-4	364	0	0	0	410	0	-0	-0	-0	0	-0	-0	0	0.003	-0.019
2.5	1367	516	2151.881	512	0	-4	366	0	0	0	409	0	-0	0	-0	-0	-0	0	-0	0.003	0.005
2.6	1367	515	2152.99	512	0	-4	360	0	0	0	409	0	-0	0	0	0	-0	0	-0	0.005	-0.002
2.7	1371	513	2150.01	513	0	-1	363	0	0	0	409	0	0	0	0	0	-0	0	0	0.005	0.008
2.8	1375	514	2151.98	512	0	-4	363	0	0	0	410	0	0	-0	0	0	-0	0	0	0.003	-0.001
2.9	1359	522	2159.919	512	0	-4	358	0	0	0	408	0	-0	0	-0	-0	-0	0	-0	0.003	0.01
3	1373	513	2153.96	512	0	-0	365	0	0	0	409	0	-0	-0	0	-0	0	-0	0	0.002	-0.017
3.1	1377	514	2153.96	515	0	-4	366	0	0	0	409	-0	-0	-0	-0	0	-0	0	-0	0.002	0.006
3.2	1377	515	2153.02	513	0	-2	366	0	0	0	409	-0	-0	0	-0	-0	0	0	-0	0.002	0.015
3.3	1377	514	2150.941	514	0	-4	359	0	0	0	410	-0	0	0	-0	-0	-0	0	-0	0	-0.014
3.4	1371	515	2154.939	512	0	-4	366	0	0	0	409	0	0	0	0	0	0	0	0	0.002	-0.01
3.5	1351	521	2151	512	0	-3	357	0	0	0	409	0	0	-0	0	-0	-0	-0	-0	-0	0
3.6	1356	523	2148.03	514	0	-2	358	0	0	0	411	0	0	0	-0	0	0	-0	0	0	-0.033
3.7	1370	515	2156	512	0	-3	361	0	0	0	410	0	0	-0	-0	-0	0	0	-0	0	0.01
3.8	1354	519	2152	513	0	-1	364	0	0	0	409	0	-0	0	-0	-0	-0	-0	-0	-0.002	0.034
3.9	1357	522	2151.01	513	0	-2	362	0	0	0	410	-0	-0	-0	0	-0	0	0	0	-0.001	-0.02
4	1378	514	2151.941	514	0	-1	364	0	0	0	410	0	-0	0	-0	0	-0	-0	0	-0.003	-0.004
4.1	1355	521	2155.919	512	0	-4	358	0	0	0	409	0	-0	0	0	-0	0	-0	-0	-0.003	-0.003
4.2	1368	516	2149.99	514	0	-3	363	0	0	0	411	0	-0	0	-0	-0	-0	0	-0	-0.001	-0.005
4.3	1364	518	2153.02	512	0	-4	359	0	0	0	409	0	0	-0	0	-0	0	-0	0	0.002	-0.003
4.4	1375	512	2154.98	514	0	0	365	0	0	0	409	0	-0	0	-0	0	-0	-0	-0	0.004	0.028
4.5	1373	513	2150.04	514	0	-0	365	0	0	0	411	0	-0	0	0	0	0	0	0	0.006	0.021
4.6	1353	520	2156.96	513	0	-4	359	0	0	0	409	0	0	-0	0	-0	0	0	-0	0.008	-0.01
4.7	1359	519	2156.96	513	0	-2	362	0	0	0	409	0	-0	-0	0	-0	0	-0	0	0.008	0.017
4.8	1377	514	2152	512	0	-1	362	0	0	0	409	0	-0	-0	-0	0	0	0	0	0.007	0.012
4.9	1354	519	2151.051	513	0	-2	362	0	0	0	410	0	0	0	-0	-0	-0	-0	-0	0.007	-0.006
5	1372	513	2152.98	513	0	-4	363	0	0	0	409	0	0	0	-0	-0	0	0	0	0.007	0.022
5.1	1362	517	2152.04	512	0	-4	362	0	0	0	410	0	-0	-0	0	-0	0	0	0	0.007	0.004
5.2	1371	517	2150.98	512	0	-0	365	21	18	0	410	0	0	0	-0	0	-0	-0	-0	0.003	0.042
5.3	1359	523	2154.901	512	0	-4	360	100	100	0	408	0	-0	-0	0	0	-0	-0	0	0.003	-0.078
5.4	1367	515	2152.99	512	0	-4	364	100	100	0	409	0	-0	-0	-0	-0	-0	0	-1	0	-0.104
5.5	1370	515	2154.822	512	1	-2	362	100	100	0	409	0	-0	-0	0	0	0	0	0	0.005	0.054
5.6	1363	520	2144.152	514	1	-4	361	100	100	0	410	0	-0	-0	0	-0	-0	0	-0	0.003	-0.016
5.7	1376	513	2154	513	1	-1	362	100	100	0	410	0	-0	0	-0	-0	-0	0	-0	0.003	0.017
5.8	1370	514	2150.079	513	1	-3	361	100	100	0	409	0	-0	-0	0	0	-0	0	-0	0.006	-0.003
5.9	1374	513	2149.03	515	1	-2	359	100	100	0	409	0	-0	0	0	-0	-0	0	-0	0.006	0.082
6	1363	517	2154.941	512	1	-1	362	100	100	0	410	0	-0	0	-0	0	-0	0	0	0.002	-0.006
6.1	1374	512	2151.99	514	1	-3	363	100	100	0	411	-0	-0	0	-0	-0	0	0	0	0.001	0.023
6.2	1372	515	2151.04	512	1	-2	362	100	100	0	410	0	-0	0	-0	0	-0	-0	-0	-0.002	0.017
6.3	1372	513	2153.901	512	1	-4	360	100	100	0	409	-0	-0	-0	0	0	-0	-0	-0	-0.002	0.038
6.4	1355	521	2154.98	513	1	-1	360	100	100	0	409	-0	-0	-0	0	-0	0	0	0	-0.003	-0.016
6.5	1375	514	2151.941	514	1	-3	367	100	100	0	411	0	0	0	0	-0	0	-0	-0	-0.003	-0.003
6.6	1370	515	2154.96	512	1	-2	363	97	90	0	411	-0	0	0	0	-0	0	-0	0	0.003	0.143
6.7	1363	520	2152.98	513	0	-1	365	0	0	0	411	0	0	-0	-1	-0	-0	0	-1	-0.001	-0.178
6.8	1370	515	2153.941	513	0	-4	364	0	0	0	409	0	0	-0	0	-0	0	-0	0	0.006	0.112
6.9	1378	514	2152.939	512	0	-2	366	0	0	0	409	0	-0	0	-0	0	0	-0	-0	0.001	0.024
7	1366	517	2152.941	512	0	-0	363	0	0	0	407	0	0	-0	0	0	0	0	0	-0	0
7.1	1365	517	2154.01	512	0	-2	365	0	0	0	410	0	0	0	0	-0	-0	0	0	-0	0.041
7.2	1362	517	2156.95	512	0	-4	364	0	0	0	412	0	-0	-0	-0	-0	-0	-0	-0	-0.004	0.098
7.3	1376	514	2150.119	512	0	-1	362	0	0	0	409	0	-0	0	0	-0	0	0	0	-0.004	-0.063
7.4	1359	522	2151.99	512	0	-4	364	0	0	0	409	-0	-0	0	-1	-0	-0	-0	-1	-0.003	-0.032
7.5	1354	520	2152.98	514	0	-1	363	0	0	0	410	0	0	-0	0	-0	0	-0	0	-0.001	-0.104
7.6	1368	516	2153.97	513	0	-2	363	0	0	0	411	0	-0	0	-0	0	-0	0	-1	0.003	0.055
7.7	1357	522	2151.01	512	0	-4	360	0	0	0	410	0	0	-0	0	-0	0	0	0	0.007	0.086
7.8	1377	513	2153.881	512	0	-0	366	0	0	0	409	-0	0	0	0	-0	-0	-0	-0	0.005	0.154
7.9	1356	522	2147.051	513	0	-4	361	0	0	0	411	0	0	-0	-0	0	-0	0	-0	0.005	0.082
8	1353	518	2150.04	513	0	-3	360	0	0	0	411	0	-0	-0	-0	0	-0	0	-0	0.005	-0.002
8.1	1359	522	2152.051	512	0	-4	361	0	0	0	409	-0	0	0	0	0	0	0	0	0.008	-0.207
8.2	1367	516	2152.99	513	0	-3	363	0	0	0	410	-0	-0	0	-0	0	-0	0	-0	0.008	-0.101
8.3	1352	520	2147.198	512	0	-4	359	0	0	0	410	0	0	-0	0	0	0	0	0	0.009	-0.124
8.4	1363	521	2153.02	512	0	-4	361	0	0	0	409	-0	-0	0	-0	0	0	-0	-0	0.006	0.023
8.5	1378	513	2154.96	512	0	-4	361	0	0	0	410	0	-0	-0	0	-0	-0	0	-0	0.008	0.096
8.6	1367	515	2147.01	512	0	-5	361	0	0	0	409	-0	-0	-0	-0	0	-0	0	-0	0.008	0.161
8.7	1359	522	2156.95	513	0	-4	364	0	0	0	410	0	0	-0	0	0	0	-0	-0	0.008	0.139
8.8	1366	517	2149.059	512	0	0	361	0	0	0	410	0	0	-0	-0	0	-0	-0	-0	0.006	0.043
8.9	1354	522	2151.04	514	0	-2	360	0	0	0	410	-0	-0	0	0	-0	0	-0	0	0.007	-0.052
9	1363	518	2153	512	0	-4	362	0	0	0	410	-0	-0	0	-0	0	0	0	-0	0	-0.142
9.1	1371	512	2152.01	512	0	-4	365	0	0	0	410	0	0	-0	0	-0	0	-0	0	0.001	-0.195
9.2	1368	516	2151.03	512	0	-1	361	0	0	0	409	0	0	-0	-0	-0	0	0	0	0.001	-0.083
9.3	1354	520	2153.901	512	0	-1	360	0	0	0	409	0	0	0	-0	0	0	0	0	0.001	-0.002
9.4	1354	518	2156.899	512	0	-3	363	0	0	0	409	0	-0	0	-0	-0	-0	-0	-0	-0.006	0.066
9.5	1373	511	2148.119	512	0	-3	364	0	0	0	409	-0	-0	-0	0	0	0	0	0	-0.003	0.122
9.6	1354	518	2148.081	513	0	-0	360	0	0	0	410	-0	-0	0	-0	0	-0	-0	-0	-0.007	0.062
9.7	1353	519	2153.98	512	0	-1	360	0	0	0	410	0	-0	-0	-0	-0	-0	0	0	-0.005	0.068
9.8	1358	522	2150.98	512	0	-1	360	0	0	0	410	0	-0	-0	-0	0	-0	0	-0	-0.006	0.085
9.9	1356	520	2151.02	512	0	-4	360	0	0	0	410	-0	0	0	-0	-0	-0	0	-0	-0.007	0.089
10	1367	517	2148.139	513	0	-1	363	0	0	0	409	0	-0	-0	0	-0	0	-0	-0	-0.003	-0.092
10.1	1371	514	2154.96	512	0	-1	364	0	0	0	410	0	0	0	-0	-0	0	0	-0	-0.005	-0.112
10.2	1355	520	2148.05	512	0	-4	362	0	0	0	409	0	0	0	-0	0	0	-0	-0	-0.002	-0.172
10.3	1374	513	2151	515	0	-3	365	0	0	0	409	0	0	0	-0	0	0	0	-0	-0.001	-0.116
10.4	1369	513	2154.929	512	0	-2	363	0	0	0	411	0	-0	0	-0	-0	0	0	-0	-0.002	-0.083
10.5	1365	518	2150.98	512	0	-4	363	0	0	0	409	0	0	0	0	-0	0	0	-0	-0.002	0.039
10.6	1375	512	2151	514	0	-2	364	0	0	0	409	0	-0	-0	-0	0	0	0	0	-0.006	0.087
10.7	1370	515	2147.04	512	0	-0	363	0	0	0	410	0	-0	0	-0	-0	-0	-0	-0	-0.008	0.15
10.8	1360	522	2156	512	0	-2	362	0	0	0	409	0	-0	-0	-0	0	-0	0	0	-0.01	0.126
10.9	1360	517	2151.98	512	0	-2	359	0	0	0	410	-0	0	0	0	-0	0	0	1	-0.007	0.152
11	1368	515	2152.842	512	0	-4	361	0	0	0	411	0	-0	-0	-0	-0	-0	0	-0	-0.006	0.083
11.1	1358	517	2144.03	512	0	-4	359	0	0	0	409	0	0	0	0	0	0	-0	0	-0.004	-0.006
11.2	1359	517	2146.09	510	0	-4	361	0	0	0	410	0	0	0	-0	-0	-0	0	-0	-0.007	-0.033
11.3	1348	520	2152.98	512	0	-4	360	0	0	0	409	0	0	0	0	0	0	0	0	-0.006	-0.13
11.4	1379	512	2155.919	512	0	-0	364	0	0	0	409	-0	0	-0	-0	0	-0	0	0	-0.005	-0.163
11.5	1367	515	2151.02	512	0	-4	363	0	0	0	409	0	0	-0	-0	-0	-0	-0	-0	-0.006	-0.148
11.6	1357	521	2151.061	512	0	-1	362	0	0	0	410	-0	-0	0	-0	-0	-0	0	-0	-0.006	-0.097
11.7	1372	515	2150.02	512	0	-2	359	0	0	0	410	0	-0	0	0	-0	0	-0	0	-0.005	0.009
11.8	1364	520	2150.059	512	0	-0	367	0	0	0	409	0	-0	-0	-0	0	0	0	0	-0.004	0.071
11.9	1351	520	2153.071	513	0	-1	360	0	0	0	410	-0	0	0	-0	-0	-0	0	-0	-0.004	0.084
12	1375	512	2156.98	512	0	-4	361	0	0	0	410	0	0	-0	0	-0	-0	-0	0	-0	0.125
12.1	1373	514	2148.061	512	0	-2	364	0	0	0	409	-0	-0	0	0	-0	0	0	-0	-0.001	0.093
12.2	1377	514	2149.02	512	0	-4	362	0	0	0	409	0	0	-0	0	-0	-0	-0	-0	-0.001	0.029
12.3	1379	512	2151	513	0	-1	365	0	0	0	409	0	0	0	-0	-0	-0	0	-0	-0	-0.045
12.4	1364	518	2155.96	512	0	-4	365	0	0	0	411	-0	-0	0	0	0	-0	0	-0	-0.001	-0.128
12.5	1350	519	2153.98	512	0	-4	360	0	0	0	409	0	0	0	-0	-0	0	0	0	-0.001	-0.141
12.6	1371	512	2150.02	512	0	0	360	0	0	0	409	-0	-0	0	0	-0	-0	0	0	-0.002	-0.123
12.7	1372	513	2151.06	512	0	-2	362	0	0	0	411	0	0	-0	-0	0	0	0	-0	-0.003	-0.042
12.8	1371	515	2153.822	512	0	-0	364	0	0	0	409	0	-0	-0	-0	0	0	-0	0	0.001	0.086
12.9	1378	514	2147.081	511	0	-4	366	0	0	0	409	0	-0	-0	0	0	0	0	0	0	0.162
13	1367	515	2155.842	512	0	-2	363	0	0	0	410	-0	0	0	0	-0	0	0	0	0.005	0.159
13.1	1368	516	2150.99	512	0	-3	365	0	0	0	409	0	0	-0	-0	-0	-0	-0	-0	0.003	0.064
13.2	1356	520	2153.04	512	0	-0	365	0	0	0	411	0	-0	-0	0	0	0	0	0	0.005	-0.084
13.3	1373	513	2150.04	510	0	-1	361	0	0	0	411	-0	-0	0	0	-0	-0	-0	0	0.004	-0.096
13.4	1361	521	2155.929	512	0	-3	360	0	0	0	412	-0	0	-0	0	-0	-0	0	0	0.005	-0.2
13.5	1357	521	2150.96	511	0	-2	364	0	0	0	410	-0	-0	0	-0	-0	0	0	-0	0.005	-0.113
13.6	1375	513	2149.02	511	0	-0	365	0	0	0	409	-0	-0	-0	-0	-0	0	0	-0	0.004	-0.001
13.7	1374	512	2153.03	511	0	-1	364	0	0	0	411	0	0	-0	-0	-0	-0	0	-0	0.004	0.096
13.8	1363	517	2154.98	512	0	-2	359	0	0	0	410	0	0	0	0	-0	0	0	0	0.003	0.16
13.9	1352	519	2151.99	512	0	-2	363	0	0	0	414	0	-0	0	-0	0	0	0	-0	0.002	0.136
14	1371	515	2153	513	0	-2	364	0	0	0	412	0	0	-0	-0	0	0	-0	0	0.003	0.009
14.1	1356	519	2151.051	513	0	-3	360	0	0	0	411	0	0	-0	0	-0	-0	0	-0	0.003	-0.088
14.2	1373	513	2156.98	513	0	-1	365	0	0	0	408	0	0	-0	-0	0	0	0	-0	0.001	-0.114
14.3	1361	522	2151.921	513	0	-3	361	0	0	0	408	0	-0	-0	0	-0	0	0	-0	0	-0.132
14.4	1358	516	2152	512	0	-4	360	0	0	0	409	0	-0	-0	-0	-0	-0	0	0	0.002	-0.045
14.5	1375	511	2153.02	514	0	-1	363	0	0	0	410	-0	0	0	-0	-0	-0	-0	-0	0.002	0.05
14.6	1359	522	2149.02	513	0	-4	360	0	0	0	410	0	-0	0	-0	-0	0	0	-0	0.003	0.116
14.7	1374	512	2148.99	512	0	-0	365	0	0	0	411	0	0	-0	0	0	-0	0	0	0.003	0.108
14.8	1355	519	2152.059	513	0	-2	362	0	0	0	411	0	0	0	0	0	0	0	-0	0.007	0.055
14.9	1374	514	2149.03	513	0	-3	359	0	0	0	410	-0	0	0	-0	-0	0	0	0	0.007	-0.046
15	1379	513	2152.881	512	0	-1	365	0	0	0	414	0	0	0	0	0	-0	-0	-0	-0.003	-0.114
15.1	1356	520	2150.98	511	0	-4	360	0	0	0	410	0	-0	0	0	0	0	0	0	-0.002	-0.107
15.2	1355	521	2154.04	510	0	-4	358	0	0	0	411	0	-0	0	-0	-0	-0	0	-0	0	-0.014
15.3	1363	521	2153.02	512	0	-4	362	0	0	0	409	-0	-0	-0	-0	-0	0	0	0	0.001	0.073
15.4	1379	512	2151.99	512	0	-1	364	0	0	0	410	0	0	0	-0	-0	-0	-0	0	-0.001	0.122
15.5	1375	513	2147.059	512	0	-1	365	0	0	0	410	0	-0	0	0	-0	-0	-0	0	0	0.098
15.6	1351	520	2149.98	512	0	-4	359	0	0	0	409	0	0	-0	0	0	-0	0	-0	0.001	0.019
15.7	1377	513	2149.07	513	0	-1	365	0	0	0	409	0	0	0	0	0	-0	0	-0	0.001	-0.087
15.8	1359	517	2154.861	512	0	-1	361	0	0	0	410	-0	0	0	0	-0	-0	-0	-0	0	-0.187
15.9	1352	519	2150.949	512	0	-2	365	0	0	0	410	0	0	0	0	0	0	0	0	0.002	-0.025
16	1356	518	2149.98	513	0	-3	364	0	0	0	409	0	0	0	-0	0	-0	0	-0	-0.004	0.055
16.1	1376	513	2147.01	512	0	-3	366	0	0	0	410	-0	0	0	-0	-0	0	0	-0	-0.004	0.189
16.2	1376	515	2151.96	512	0	-1	366	0	0	0	409	0	0	-0	-0	-0	0	0	0	-0.006	0.098
16.3	1368	517	2151.881	512	0	-2	363	0	0	0	410	-0	-0	0	0	-0	0	-0	0	-0.008	0.023
16.4	1367	516	2147.061	513	0	-3	361	0	0	0	409	0	0	0	-0	-0	-0	-0	0	-0.007	-0.148
16.5	1361	517	2148.079	512	0	-2	363	0	0	0	409	0	0	-0	0	-0	-0	0	-0	-0.008	-0.147
16.6	1364	515	2152.03	512	0	-4	363	0	0	0	410	-0	0	-0	0	-0	0	0	0	-0.003	0.136
16.7	1354	520	2149.03	512	0	-4	364	0	0	0	410	0	-0	0	-0	-0	0	-0	0	-0.004	0.166
16.8	1361	522	2155	513	0	-4	362	0	0	0	407	0	-0	-0	-0	-0	0	-0	-0	-0.001	0.023
16.9	1379	514	2154.96	512	0	-3	362	0	0	0	409	0	-0	0	0	0	0	0	-0	-0.002	-0.098
17	1367	516	2146.079	512	0	-2	366	0	0	0	409	0	-0	-0	0	-0	-0	0	0	-0.001	-0.153
17.1	1361	520	2154.97	512	0	-4	361	0	0	0	410	-0	0	0	0	-0	0	0	0	-0.001	-0.105
17.2	1355	521	2151.99	512	0	-2	366	0	0	0	410	0	0	-0	-0	-0	0	0	-0	-0.005	0.064
17.3	1359	517	2153.98	514	0	-2	359	0	0	0	411	0	0	0	0	-0	-0	0	-0	-0.005	0.188
17.4	1359	516	2152.02	512	0	-4	359	0	0	0	410	0	0	0	-0	-0	-0	-0	-0	-0.005	0.116
17.5	1364	517	2154.97	512	0	-1	366	0	0	0	409	0	-0	0	0	-0	-0	-0	-0	-0.006	-0.055
17.6	1356	520	2149.06	512	0	-4	363	0	0	0	409	0	-0	0	-0	-0	0	0	0	-0.007	-0.162
17.7	1377	512	2153	512	0	-2	363	0	0	0	410	0	0	-0	0	-0	0	-0	0	-0.007	-0.142
17.8	1366	518	2153.04	512	0	-4	364	0	0	0	409	-0	0	0	0	0	-0	0	0	-0.008	0.013
17.9	1356	517	2154.96	513	0	-2	362	0	0	0	410	0	0	0	-0	0	0	-0	-0	-0.009	0.133
18	1378	513	2158.96	513	0	-2	363	0	0	0	410	-0	0	0	-0	-0	-0	0	0	-0.004	0.148
18.1	1378	512	2158.99	512	0	-1	365	0	0	0	408	0	-0	0	-0	-0	-0	0	-0	-0.005	0.043
18.2	1377	512	2153	513	0	-1	363	0	0	0	407	-0	0	-0	0	-0	0	0	0	-0.006	-0.11
18.3	1379	514	2155.99	512	0	-1	363	0	0	0	411	0	0	0	0	0	0	0	0	-0.006	-0.164
18.4	1378	513	2149	513	0	-4	363	0	0	0	410	0	0	0	0	-0	0	-0	0	0.001	-0.044
18.5	1373	515	2151.01	513	0	-4	362	0	0	0	411	-0	-0	0	0	-0	-0	0	0	0.001	0.068
18.6	1362	520	2150.05	513	0	-4	363	0	0	0	409	0	0	-0	-0	-0	-0	0	0	-0.003	0.13
18.7	1365	517	2152	512	0	-4	362	0	0	0	409	0	0	-0	-0	-0	-0	0	-0	-0.003	0.134
18.8	1377	519	2153.98	512	0	-1	366	0	0	0	409	0	-0	0	0	-0	0	0	0	-0.001	0.04
18.9	1390	512	2154.98	513	0	-1	366	0	0	0	409	0	0	-0	-0	-0	0	-0	-0	-0.003	-0.115
19	1383	514	2151.99	514	0	-2	363	0	0	0	408	0	0	-0	-0	-0	0	-0	0	-0.005	-0.098
19.1	1361	518	2152	514	0	-3	359	0	0	0	407	0	0	0	0	0	-0	0	0	-0.005	-0.088
19.2	1378	515	2150.01	514	0	-4	364	0	0	0	408	0	0	0	0	0	0	-0	0	-0.004	0.09
19.3	1377	515	2152.94	513	0	-4	364	0	0	0	411	0	-0	0	-0	0	-0	-0	-0	-0.004	0.108
19.4	1360	519	2150.02	512	0	-3	361	0	0	0	410	-0	0	0	0	0	-0	-0	0	-0.003	0.085
19.5	1361	518	2152.01	512	0	-1	363	0	0	0	411	0	-0	0	-0	0	0	0	0	-0.003	0.014
19.6	1371	518	2152.03	512	0	-2	359	0	0	0	410	0	0	-0	-0	0	-0	0	-0	-0.004	-0.091
19.7	1379	513	2153.03	513	0	-3	365	0	0	0	408	0	-0	-0	-0	-0	0	-0	0	-0.003	-0.144
19.8	1375	516	2147.06	513	0	-1	366	0	0	0	408	0	0	0	-0	-0	0	-0	-0	-0.003	-0.08
19.9	1362	522	2149.98	513	0	-3	360	0	0	0	408	0	0	-0	0	-0	0	0	-0	-0.002	0.052
20	1327	520	2154.97	513	0	-1	361	0	0	0	410	0	0	0	-0	-0	-0	0	-0	0.002	0.163
20.1	1367	520	2153	513	0	-1	361	0	0	0	407	0	-0	-0	-0	-0	-0	0	-0	0.002	0.128
20.2	1385	513	2152.01	512	0	-4	365	0	0	0	407	0	0	0	0	-0	-0	-0	-0	-0.002	-0.016
20.3	1366	522	2151.96	512	0	-0	360	0	0	0	409	0	-0	-0	-0	-0	-0	0	-0	-0.002	-0.124
20.4	1380	512	2153	513	0	-0	359	0	0	0	409	-0	-0	-0	-0	-0	-0	0	0	-0.001	-0.162
20.5	1377	512	2152	512	0	-2	363	0	0	0	410	0	-0	-0	-0	0	0	0	0	0	-0.071
20.6	1379	512	2153.99	512	0	-1	363	0	0	0	408	0	0	-0	0	-0	0	0	-0	0.007	0.07
20.7	1377	515	2152.98	513	0	-3	365	0	0	0	410	0	-0	-0	-0	-0	-0	-0	-0	0.006	0.138
20.8	1362	521	2150.03	512	0	-1	360	0	0	0	409	0	0	-0	0	0	0	0	0	0.012	0.038
20.9	1359	519	2154.96	513	0	1	361	0	0	0	408	-0	-0	-0	0	0	0	-0	0	0.012	0.011
21	1369	516	2152.99	514	0	-1	361	0	0	0	407	0	0	-0	-0	-0	-0	-0	0	0.007	-0.135
21.1	1371	515	2148.02	514	0	-3	361	0	0	0	408	-0	-0	-0	-0	0	0	-0	-0	0.008	-0.107
21.2	1364	517	2152.04	512	0	-1	362	0	0	0	409	-0	0	0	0	-0	0	0	0	0.002	-0.033
21.3	1380	512	2148.03	513	0	-1	367	0	0	0	408	-0	-0	-0	0	-0	0	0	-0	0.002	0.103
21.4	1384	513	2147.05	512	0	-3	362	0	0	0	407	0	-0	0	0	-0	-0	0	-0	0.006	0.084
21.5	1375	514	2153.99	513	0	-2	360	0	0	0	409	0	0	-0	0	0	-0	0	0	0.008	0.122
21.6	1362	519	2153.01	512	0	-2	365	0	0	0	410	-0	-0	0	-0	-0	0	0	-0	0.009	-0.027
21.7	1371	518	2151.02	515	0	-4	360	0	0	0	409	0	0	0	-0	0	0	0	-0	0.011	-0.083
21.8	1367	520	2150.03	512	0	-4	359	0	0	0	408	-0	-0	-0	-0	-0	0	-0	-0	0.006	-0.109
21.9	1381	512	2152.01	513	0	-1	364	0	0	0	410	-0	-0	-0	0	-0	0	0	-0	0.007	-0.045
22	1348	513	2153.01	512	0	-0	366	0	0	0	407	-0	0	0	-0	-0	0	0	0	0.007	0.092
22.1	1380	514	2153.98	513	0	-1	363	0	0	0	407	0	-0	-0	0	-0	-0	0	-0	0.008	0.174
22.2	1379	515	2151.99	512	0	-1	363	0	0	0	409	-0	-0	0	-0	0	-0	-0	-0	0.007	0.018
22.3	1374	515	2152.03	512	0	-2	366	0	0	0	408	0	0	-0	-0	-0	-0	-0	-0	0.007	-0.098
22.4	1356	519	2152.01	513	0	-0	361	0	0	0	408	0	0	-0	-0	-0	0	-0	-0	0.009	-0.086
22.5	1383	513	2152	513	0	-2	360	0	0	0	409	0	-0	0	-0	0	-0	0	-0	0.009	-0.169
22.6	1383	514	2153.02	514	0	-4	363	0	0	0	409	-0	-0	0	-0	0	0	-0	-0	0.012	0.008
22.7	1364	522	2149.03	514	0	-3	362	0	0	0	407	-0	0	0	0	0	-0	0	0	0.012	0.168
22.8	1379	512	2153.95	514	0	-1	362	0	0	0	407	0	0	-0	-0	0	-0	0	0	0.013	0.12
